Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.5,645934,Ilgaz (Çankırı),40.95472,33.51417,7,ML,1.9,Türkiye,Çankırı,Ilgaz,Alibey,12/17/2024 12:21:09 AM,False,
0.41,646066,Bala (Ankara),39.34667,33.42139,6.97,ML,1.2,Türkiye,Ankara,Bala,Tepeköy,12/18/2024 9:46:48 AM,False,
0.45,646097,Kalecik (Ankara),40.14528,33.44194,11.5,ML,1.1,Türkiye,Ankara,Kalecik,Akkaynak,12/18/2024 9:28:21 PM,False,
0.58,646098,Bayramören (Çankırı),40.98,33.19167,6.99,ML,1.5,Türkiye,Çankırı,Bayramören,Köprülübey,12/18/2024 9:34:27 PM,False,
0.08,646145,Bala (Ankara),39.56583,33.23667,6.7,ML,0.8,Türkiye,Ankara,Bala,Büyükboyalık,12/19/2024 5:35:02 AM,False,
0.34,646161,Akpınar (Kırşehir),39.56917,33.83722,6.61,ML,1.3,Türkiye,Kırşehir,Akpınar,Hanyerisarıkaya,12/19/2024 9:15:35 AM,False,
0.26,646185,Çerkeş (Çankırı),40.73361,32.85361,8.46,ML,1,Türkiye,Çankırı,Çerkeş,Dağçukurören,12/19/2024 5:26:51 PM,False,
0.42,646201,Çerkeş (Çankırı),40.73444,32.85861,10.12,ML,1,Türkiye,Çankırı,Çerkeş,Yakuplar,12/19/2024 7:12:36 PM,False,
0.84,646263,Çerkeş (Çankırı),40.80222,32.59,6.57,ML,0.9,Türkiye,Çankırı,Çerkeş,Yeşilören,12/20/2024 7:57:32 AM,False,
0.15,646285,Bala (Ankara),39.48639,33.125,6.85,ML,1.3,Türkiye,Ankara,Bala,Çiğdemli,12/20/2024 12:55:10 PM,False,
0.42,646370,Merkez (Kırıkkale),39.89139,33.60472,7,ML,1.1,Türkiye,Kırıkkale,Merkez,Ulaş,12/21/2024 11:03:08 AM,False,
0.25,646436,Ilgaz (Çankırı),40.79972,33.60556,6.99,ML,3.1,Türkiye,Çankırı,Ilgaz,Kıyısın,12/22/2024 9:42:43 AM,False,
0.35,646471,Delice (Kırıkkale),39.98861,33.96972,8.1,ML,1.4,Türkiye,Kırıkkale,Delice,Derekışla,12/22/2024 5:31:54 PM,False,
0.24,646477,Ilgaz (Çankırı),40.80417,33.60694,6.99,ML,1.5,Türkiye,Çankırı,Ilgaz,Kıyısın,12/22/2024 8:05:26 PM,False,
0.45,646575,Gölbaşı (Ankara),39.49028,32.725,7.15,ML,1.5,Türkiye,Ankara,Gölbaşı,Culuk,12/23/2024 11:46:32 PM,False,
0.86,646606,Kalecik (Ankara),40.38722,33.40694,6.9,ML,1.7,Türkiye,Ankara,Kalecik,Hançılı,12/24/2024 8:39:53 AM,False,
0.31,646611,Yahşihan (Kırıkkale),39.95333,33.525,7,ML,1,Türkiye,Kırıkkale,Yahşihan,Keçili,12/24/2024 11:22:59 AM,False,
0.7,646623,Mamak (Ankara),39.87917,33.01,6.69,ML,1,Türkiye,Ankara,Mamak,Kıbrıs,12/24/2024 2:51:25 PM,False,
0.38,646626,Mamak (Ankara),39.93944,33.02722,7,ML,1.1,Türkiye,Ankara,Mamak,Ortaköy,12/24/2024 3:02:08 PM,False,
0.45,646672,Kalecik (Ankara),40.38417,33.40833,7,ML,2.8,Türkiye,Ankara,Kalecik,Hançılı,12/24/2024 10:57:23 PM,False,
0.51,646674,Şabanözü (Çankırı),40.42139,33.43472,7.03,ML,1.3,Türkiye,Çankırı,Şabanözü,Akbulut,12/24/2024 10:59:51 PM,False,
0.43,646681,Kalecik (Ankara),40.38556,33.40389,7,ML,1.3,Türkiye,Ankara,Kalecik,Hançılı,12/25/2024 12:01:04 AM,False,
0.74,646815,Orta (Çankırı),40.60528,33.02944,7,ML,1.3,Türkiye,Çankırı,Orta,Yuva,12/26/2024 2:51:28 PM,False,
0.57,646916,Merkez (Çankırı),40.57028,33.60417,7.14,ML,1.5,Türkiye,Çankırı,Merkez,Abdulhalik Renda,12/27/2024 12:42:59 PM,False,
